,mmr,planet1,planet2,m1,m2,m,q,a
0,1R-7V+1,Mercury,Venus,1,-7,1,5,0.2675275794880519
1,1R-7V+2,Mercury,Venus,1,-7,2,4,0.42467376495362236
2,1R-7V+3,Mercury,Venus,1,-7,3,3,0.5564800918794014
3,1R-7V+4,Mercury,Venus,1,-7,4,2,0.6741274974673767
4,1R-7V+5,Mercury,Venus,1,-7,5,1,0.782255205401316
5,1R-7V+6,Mercury,Venus,1,-7,6,0,0.8833557782087644
6,1R-6V+1,Mercury,Venus,1,-6,1,4,0.3170611278371341
7,1R-6V+2,Mercury,Venus,1,-6,2,3,0.5033033806910067
8,1R-6V+3,Mercury,Venus,1,-6,3,2,0.6595139658080746
9,1R-6V+4,Mercury,Venus,1,-6,4,1,0.7989437071909786
10,1R-6V+5,Mercury,Venus,1,-6,5,0,0.9270912069644652
11,1R-6V+6,Mercury,Venus,1,-6,6,1,1.0469104088085681
12,1R-5V+1,Mercury,Venus,1,-5,1,3,0.3984660045470573
13,1R-5V+2,Mercury,Venus,1,-5,2,2,0.6325255595476635
14,1R-5V+3,Mercury,Venus,1,-5,3,1,0.8288422490425703
15,1R-5V+4,Mercury,Venus,1,-5,4,0,1.0040695882377328
16,1R-5V+5,Mercury,Venus,1,-5,5,1,1.1651178490906695
17,1R-5V+6,Mercury,Venus,1,-5,6,2,1.315699220505493
18,1R-4V+1,Mercury,Venus,1,-4,1,2,0.565724439316354
19,1R-4V+2,Mercury,Venus,1,-4,2,1,0.8980308120139727
20,1R-4V+3,Mercury,Venus,1,-4,3,0,1.1767506092323743
21,1R-4V+4,Mercury,Venus,1,-4,4,1,1.4255277445173593
22,1R-4V+5,Mercury,Venus,1,-4,5,2,1.6541719024836163
23,1R-4V+6,Mercury,Venus,1,-4,6,3,1.8679528160099346
24,1R-3V+1,Mercury,Venus,1,-3,1,1,1.2395898848773033
25,1R-3V+2,Mercury,Venus,1,-3,2,0,1.9677100206685936
26,1R-3V+3,Mercury,Venus,1,-3,3,1,2.5783767994087214
27,1R-3V+4,Mercury,Venus,1,-3,4,2,3.1233752031246893
28,1R-3V+5,Mercury,Venus,1,-3,5,3,3.624183991583388
29,1R-3V+6,Mercury,Venus,1,-3,6,4,4.092335731602603
30,1R-2V-5,Mercury,Venus,1,-2,-5,6,3.1341032294964966
31,1R-2V-4,Mercury,Venus,1,-2,-4,5,2.701006328860324
32,1R-2V-3,Mercury,Venus,1,-2,-3,4,2.2297092350593544
33,1R-2V-2,Mercury,Venus,1,-2,-2,3,1.7016302882722345
34,1R-2V-1,Mercury,Venus,1,-2,-1,2,1.0719759693622277
35,1R-1V-6,Mercury,Venus,1,-1,-6,6,1.7799496681429858
36,1R-1V-5,Mercury,Venus,1,-1,-5,5,1.5762416250269757
37,1R-1V-4,Mercury,Venus,1,-1,-4,4,1.3583703108192964
38,1R-1V-3,Mercury,Venus,1,-1,-3,3,1.121313805194947
39,1R-1V-2,Mercury,Venus,1,-1,-2,2,0.8557249026194642
40,1R-1V-1,Mercury,Venus,1,-1,-1,1,0.5390743867679715
41,1R+1V-7,Mercury,Venus,1,1,-7,5,1.1364799370486942
42,1R+1V-6,Mercury,Venus,1,1,-6,4,1.0254890330838082
43,1R+1V-5,Mercury,Venus,1,1,-5,3,0.9081216691347342
44,1R+1V-4,Mercury,Venus,1,1,-4,2,0.782596323217658
45,1R+1V-3,Mercury,Venus,1,1,-3,1,0.6460196752772266
46,1R+1V-2,Mercury,Venus,1,1,-2,0,0.4930056565905795
47,1R+1V-1,Mercury,Venus,1,1,-1,1,0.3105741931366575
48,1R+2V-7,Mercury,Venus,1,2,-7,4,0.9633486168420726
49,1R+2V-6,Mercury,Venus,1,2,-6,3,0.8692659668280538
50,1R+2V-5,Mercury,Venus,1,2,-5,2,0.7697780074431722
51,1R+2V-4,Mercury,Venus,1,2,-4,1,0.6633750789907705
52,1R+2V-3,Mercury,Venus,1,2,-3,0,0.5476043995731694
53,1R+2V-2,Mercury,Venus,1,2,-2,1,0.4179005123830406
54,1R+2V-1,Mercury,Venus,1,2,-1,2,0.2632608305293407
55,1R+3V-7,Mercury,Venus,1,3,-7,3,0.8439403419293747
56,1R+3V-6,Mercury,Venus,1,3,-6,2,0.7615191110219635
57,1R+3V-5,Mercury,Venus,1,3,-5,1,0.6743627520086741
58,1R+3V-4,Mercury,Venus,1,3,-4,0,0.5811485030973482
59,1R+3V-3,Mercury,Venus,1,3,-3,1,0.4797276753908913
60,1R+3V-2,Mercury,Venus,1,3,-2,2,0.3661007916118281
61,1R+3V-1,Mercury,Venus,1,3,-1,3,0.2306290192234868
62,1R+4V-7,Mercury,Venus,1,4,-7,2,0.755753916815946
63,1R+4V-6,Mercury,Venus,1,4,-6,1,0.6819451350209612
64,1R+4V-5,Mercury,Venus,1,4,-5,0,0.6038959701066816
65,1R+4V-4,Mercury,Venus,1,4,-4,1,0.520421929786065
66,1R+4V-3,Mercury,Venus,1,4,-3,2,0.4295989152169366
67,1R+4V-2,Mercury,Venus,1,4,-2,3,0.3278453412909218
68,1R+4V-1,Mercury,Venus,1,4,-1,4,0.20652958774594615
69,1R+5V-7,Mercury,Venus,1,5,-7,1,0.6874932789082634
70,1R+5V-6,Mercury,Venus,1,5,-6,0,0.6203509240077721
71,1R+5V-5,Mercury,Venus,1,5,-5,1,0.5493511775238797
72,1R+5V-4,Mercury,Venus,1,5,-4,2,0.4734165813309861
73,1R+5V-3,Mercury,Venus,1,5,-3,3,0.39079682009188244
74,1R+5V-2,Mercury,Venus,1,5,-2,4,0.29823377246048616
75,1R+5V-1,Mercury,Venus,1,5,-1,5,0.18787546733495963
76,1R+6V-7,Mercury,Venus,1,6,-7,0,0.6328123297065359
77,1R+6V-6,Mercury,Venus,1,6,-6,1,0.5710101845824407
78,1R+6V-5,Mercury,Venus,1,6,-5,2,0.5056574819784393
79,1R+6V-4,Mercury,Venus,1,6,-4,3,0.43576245869869706
80,1R+6V-3,Mercury,Venus,1,6,-3,4,0.35971399838045537
81,1R+6V-2,Mercury,Venus,1,6,-2,5,0.27451313038407277
82,1R+6V-1,Mercury,Venus,1,6,-1,6,0.17293240076664262
83,2R-7V+1,Mercury,Venus,2,-7,1,4,0.4729303156104838
84,2R-7V+2,Mercury,Venus,2,-7,2,3,0.7507310014370934
85,2R-7V+3,Mercury,Venus,2,-7,3,2,0.9837346388961047
86,2R-7V+4,Mercury,Venus,2,-7,4,1,1.1917075184293582
87,2R-7V+5,Mercury,Venus,2,-7,5,0,1.3828514444618893
88,2R-7V+6,Mercury,Venus,2,-7,6,1,1.5615718416986333
89,2R-6V+1,Mercury,Venus,2,-6,1,3,0.7808944427921336
90,2R-6V+3,Mercury,Venus,2,-6,3,1,1.6243176095401883
91,2R-6V+5,Mercury,Venus,2,-6,5,1,2.283305649358642
92,2R-5V-3,Mercury,Venus,2,-5,-3,6,6.608842706718132
93,2R-5V-2,Mercury,Venus,2,-5,-2,5,5.041193132881951
94,2R-5V-1,Mercury,Venus,2,-5,-1,4,3.1779275163096266
95,2R-4V-3,Mercury,Venus,2,-4,-3,5,1.4046776957990446
96,2R-4V-1,Mercury,Venus,2,-4,-1,3,0.675305814122061
97,2R-3V-5,Mercury,Venus,2,-3,-5,6,1.2862405984375413
98,2R-3V-4,Mercury,Venus,2,-3,-4,5,1.1084512489810174
99,2R-3V-3,Mercury,Venus,2,-3,-3,4,0.9150082421586342
100,2R-3V-2,Mercury,Venus,2,-3,-2,3,0.6982833445553456
101,2R-3V-1,Mercury,Venus,2,-3,-1,2,0.43989215172501456
102,2R-2V-5,Mercury,Venus,2,-2,-5,5,0.9929792289451512
103,2R-2V-3,Mercury,Venus,2,-2,-3,3,0.706386138972647
104,2R-2V-1,Mercury,Venus,2,-2,-1,1,0.33959591194321925
105,2R-1V-7,Mercury,Venus,2,-1,-7,6,1.031821174839138
106,2R-1V-6,Mercury,Venus,2,-1,-6,5,0.9310515045701798
107,2R-1V-5,Mercury,Venus,2,-1,-5,4,0.8244923775192006
108,2R-1V-4,Mercury,Venus,2,-1,-4,3,0.710526557060397
109,2R-1V-3,Mercury,Venus,2,-1,-3,2,0.5865274046635579
110,2R-1V-2,Mercury,Venus,2,-1,-2,1,0.4476045141758499
111,2R-1V-1,Mercury,Venus,2,-1,-1,0,0.28197328891822265
112,2R+1V-7,Mercury,Venus,2,1,-7,4,0.792085176857959
113,2R+1V-6,Mercury,Venus,2,1,-6,3,0.7147281942161069
114,2R+1V-5,Mercury,Venus,2,1,-5,2,0.6329271283144572
115,2R+1V-4,Mercury,Venus,2,1,-4,1,0.5454403424892419
116,2R+1V-3,Mercury,Venus,2,1,-3,0,0.4502512394213345
117,2R+1V-2,Mercury,Venus,2,1,-2,1,0.34360607243028674
118,2R+1V-1,Mercury,Venus,2,1,-1,2,0.21645826176331034
119,2R+2V-7,Mercury,Venus,2,2,-7,3,0.7159401096206142
120,2R+2V-5,Mercury,Venus,2,2,-5,1,0.5720822046237464
121,2R+2V-3,Mercury,Venus,2,2,-3,1,0.406967289284916
122,2R+2V-1,Mercury,Venus,2,2,-1,3,0.1956494674262525
123,2R+3V-7,Mercury,Venus,2,3,-7,2,0.655795858157341
124,2R+3V-6,Mercury,Venus,2,3,-6,1,0.5917491518919411
125,2R+3V-5,Mercury,Venus,2,3,-5,0,0.5240229099214491
126,2R+3V-4,Mercury,Venus,2,3,-4,1,0.45158934780134247
127,2R+3V-3,Mercury,Venus,2,3,-3,2,0.3727788417332915
128,2R+3V-2,Mercury,Venus,2,3,-2,3,0.28448349963642217
129,2R+3V-1,Mercury,Venus,2,3,-1,4,0.17921335461143775
130,2R+4V-7,Mercury,Venus,2,4,-7,1,0.606873262751618
131,2R+4V-5,Mercury,Venus,2,4,-5,1,0.4849305204766306
132,2R+4V-3,Mercury,Venus,2,4,-3,3,0.3449692933963344
133,2R+4V-1,Mercury,Venus,2,4,-1,5,0.16584390882333766
134,2R+5V-7,Mercury,Venus,2,5,-7,0,0.5661587986754182
135,2R+5V-6,Mercury,Venus,2,5,-6,1,0.5108661789940954
136,2R+5V-5,Mercury,Venus,2,5,-5,2,0.4523969989767025
137,2R+5V-4,Mercury,Venus,2,5,-4,3,0.38986395383972555
138,2R+5V-3,Mercury,Venus,2,5,-3,4,0.3218256038519985
139,2R+5V-2,Mercury,Venus,2,5,-2,5,0.2455988837897069
140,2R+5V-1,Mercury,Venus,2,5,-1,6,0.15471757936303274
141,2R+6V-7,Mercury,Venus,2,6,-7,1,0.531650107467463
142,2R+6V-5,Mercury,Venus,2,6,-5,3,0.4248223134513018
143,2R+6V-3,Mercury,Venus,2,6,-3,5,0.30220953586028326
144,3R-7V-2,Mercury,Venus,3,-7,-2,6,1.5103998774963965
145,3R-7V-1,Mercury,Venus,3,-7,-1,5,0.9515060894339408
146,3R-6V-2,Mercury,Venus,3,-6,-2,5,0.818073392712032
147,3R-6V-1,Mercury,Venus,3,-6,-1,4,0.5153563524637503
148,3R-5V-4,Mercury,Venus,3,-5,-4,6,0.948735980709441
149,3R-5V-3,Mercury,Venus,3,-5,-3,5,0.7831656802265496
150,3R-5V-2,Mercury,Venus,3,-5,-2,4,0.5976686055739578
151,3R-5V-1,Mercury,Venus,3,-5,-1,3,0.3765084064465078
152,3R-4V-5,Mercury,Venus,3,-4,-5,6,0.8900936728208642
153,3R-4V-4,Mercury,Venus,3,-4,-4,5,0.7670602738226199
154,3R-4V-3,Mercury,Venus,3,-4,-3,4,0.6331951932235106
155,3R-4V-2,Mercury,Venus,3,-4,-2,3,0.48321903412543016
156,3R-4V-1,Mercury,Venus,3,-4,-1,2,0.3044092026066114
157,3R-3V-5,Mercury,Venus,3,-3,-5,5,0.7577867220945851
158,3R-3V-4,Mercury,Venus,3,-3,-4,4,0.6530414581387902
159,3R-3V-2,Mercury,Venus,3,-3,-2,2,0.41139103819873574
160,3R-3V-1,Mercury,Venus,3,-3,-1,1,0.2591602398399062
161,3R-2V-7,Mercury,Venus,3,-2,-7,6,0.8331228916853574
162,3R-2V-6,Mercury,Venus,3,-2,-6,5,0.7517581078068815
163,3R-2V-5,Mercury,Venus,3,-2,-5,4,0.6657190148176896
164,3R-2V-4,Mercury,Venus,3,-2,-4,3,0.5736997040843025
165,3R-2V-3,Mercury,Venus,3,-2,-3,2,0.47357894698390035
166,3R-2V-2,Mercury,Venus,3,-2,-2,1,0.3614085204985185
167,3R-2V-1,Mercury,Venus,3,-2,-1,0,0.22767315380130024
168,3R-1V-7,Mercury,Venus,3,-1,-7,5,0.7475247172107793
169,3R-1V-6,Mercury,Venus,3,-1,-6,4,0.6745197017482168
170,3R-1V-5,Mercury,Venus,3,-1,-5,3,0.5973204982230775
171,3R-1V-4,Mercury,Venus,3,-1,-4,2,0.5147554558443762
172,3R-1V-3,Mercury,Venus,3,-1,-3,1,0.4249214178119695
173,3R-1V-2,Mercury,Venus,3,-1,-2,0,0.324275809235237
174,3R-1V-1,Mercury,Venus,3,-1,-1,1,0.204280976029543
175,3R+1V-7,Mercury,Venus,3,1,-7,3,0.6275161102468059
176,3R+1V-6,Mercury,Venus,3,1,-6,2,0.5662312726226372
177,3R+1V-5,Mercury,Venus,3,1,-5,1,0.5014255774721094
178,3R+1V-4,Mercury,Venus,3,1,-4,0,0.4321155585751615
179,3R+1V-3,Mercury,Venus,3,1,-3,1,0.3567035871121178
180,3R+1V-2,Mercury,Venus,3,1,-2,2,0.2722157977714416
181,3R+1V-1,Mercury,Venus,3,1,-1,3,0.1714851984131877
182,3R+2V-7,Mercury,Venus,3,2,-7,2,0.5834385919329562
183,3R+2V-6,Mercury,Venus,3,2,-6,1,0.5264584224694195
184,3R+2V-5,Mercury,Venus,3,2,-5,0,0.46620472633888177
185,3R+2V-4,Mercury,Venus,3,2,-4,1,0.40176311609616006
186,3R+2V-3,Mercury,Venus,3,2,-3,2,0.3316481727340806
187,3R+2V-2,Mercury,Venus,3,2,-2,3,0.25309492456365973
188,3R+2V-1,Mercury,Venus,3,2,-1,4,0.15943979891086613
189,3R+3V-7,Mercury,Venus,3,3,-7,1,0.5463651731072593
190,3R+3V-5,Mercury,Venus,3,3,-5,1,0.4365806376555131
191,3R+3V-4,Mercury,Venus,3,3,-4,2,0.37623382906409714
192,3R+3V-2,Mercury,Venus,3,3,-2,4,0.23701246046020277
193,3R+3V-1,Mercury,Venus,3,3,-1,5,0.14930847944245962
194,3R+4V-7,Mercury,Venus,3,4,-7,0,0.5146697558659312
195,3R+4V-6,Mercury,Venus,3,4,-6,1,0.46440567656083204
196,3R+4V-5,Mercury,Venus,3,4,-5,2,0.41125393946104954
197,3R+4V-4,Mercury,Venus,3,4,-4,3,0.35440792438930674
198,3R+4V-3,Mercury,Venus,3,4,-3,4,0.29255729569130967
199,3R+4V-2,Mercury,Venus,3,4,-2,5,0.22326298995485527
200,3R+4V-1,Mercury,Venus,3,4,-1,6,0.140646855059162
201,3R+5V-7,Mercury,Venus,3,5,-7,1,0.4872038430441517
202,3R+5V-6,Mercury,Venus,3,5,-6,2,0.4396221451251424
203,3R+5V-5,Mercury,Venus,3,5,-5,3,0.3893069002404256
204,3R+5V-4,Mercury,Venus,3,5,-4,4,0.33549452459223394
205,3R+5V-3,Mercury,Venus,3,5,-3,5,0.2769446217648509
206,3R+5V-2,Mercury,Venus,3,5,-2,6,0.21134828733337926
207,3R+6V-7,Mercury,Venus,3,6,-7,2,0.4631312210627894
208,3R+6V-5,Mercury,Venus,3,6,-5,4,0.3700713212662836
209,3R+6V-4,Mercury,Venus,3,6,-4,5,0.3189177969288062
210,4R-7V-3,Mercury,Venus,4,-7,-3,6,0.690409015428401
211,4R-7V-2,Mercury,Venus,4,-7,-2,5,0.5268819426881707
212,4R-7V-1,Mercury,Venus,4,-7,-1,4,0.3319154002427354
213,4R-6V-3,Mercury,Venus,4,-6,-3,5,0.5764211075251732
214,4R-6V-1,Mercury,Venus,4,-6,-1,3,0.2771149470405813
215,4R-5V-5,Mercury,Venus,4,-5,-5,6,0.7031169298323732
216,4R-5V-4,Mercury,Venus,4,-5,-4,5,0.6059284971905503
217,4R-5V-3,Mercury,Venus,4,-5,-3,4,0.5001834059808858
218,4R-5V-2,Mercury,Venus,4,-5,-2,3,0.3817116244595389
219,4R-5V-1,Mercury,Venus,4,-5,-1,2,0.24046338600048048
220,4R-4V-5,Mercury,Venus,4,-4,-5,5,0.6255399606973204
221,4R-4V-3,Mercury,Venus,4,-4,-3,3,0.4449963471687867
222,4R-4V-1,Mercury,Venus,4,-4,-1,1,0.21393208035793226
223,4R-3V-7,Mercury,Venus,4,-3,-7,6,0.7087446795040344
224,4R-3V-6,Mercury,Venus,4,-3,-6,5,0.6395270707814193
225,4R-3V-5,Mercury,Venus,4,-3,-5,4,0.5663327749497179
226,4R-3V-4,Mercury,Venus,4,-3,-4,3,0.48805102320094046
227,4R-3V-3,Mercury,Venus,4,-3,-3,2,0.40287738476249363
228,4R-3V-2,Mercury,Venus,4,-3,-2,1,0.3074530707294648
229,4R-3V-1,Mercury,Venus,4,-3,-1,0,0.19368332533412969
230,4R-2V-7,Mercury,Venus,4,-2,-7,5,0.6500088651837082
231,4R-2V-5,Mercury,Venus,4,-2,-5,3,0.5193988605186034
232,4R-2V-3,Mercury,Venus,4,-2,-3,1,0.36948947445854624
233,4R-2V-1,Mercury,Venus,4,-2,-1,1,0.1776320508362245
234,4R-1V-7,Mercury,Venus,4,-1,-7,4,0.6021002010465563
235,4R-1V-6,Mercury,Venus,4,-1,-6,3,0.5432975415684269
236,4R-1V-5,Mercury,Venus,4,-1,-5,2,0.4811166329269459
237,4R-1V-4,Mercury,Venus,4,-1,-4,1,0.4146138394055643
238,4R-1V-3,Mercury,Venus,4,-1,-3,0,0.34225624057850557
239,4R-1V-2,Mercury,Venus,4,-1,-2,1,0.2611904181995338
240,4R-1V-1,Mercury,Venus,4,-1,-1,2,0.16453965296021883
241,4R+1V-7,Mercury,Venus,4,1,-7,2,0.5282154899283196
242,4R+1V-6,Mercury,Venus,4,1,-6,1,0.4766285230038893
243,4R+1V-5,Mercury,Venus,4,1,-5,0,0.4220778876166649
244,4R+1V-4,Mercury,Venus,4,1,-4,1,0.36373573994979175
245,4R+1V-3,Mercury,Venus,4,1,-3,2,0.30025725543270165
246,4R+1V-2,Mercury,Venus,4,1,-2,3,0.22913917114919155
247,4R+1V-1,Mercury,Venus,4,1,-1,4,0.14434862405868273
248,4R+2V-7,Mercury,Venus,4,2,-7,1,0.49898333655554683
249,4R+2V-5,Mercury,Venus,4,2,-5,1,0.3987194966096253
250,4R+2V-3,Mercury,Venus,4,2,-3,3,0.2836405703878966
251,4R+2V-1,Mercury,Venus,4,2,-1,5,0.13636015007480762
252,4R+3V-7,Mercury,Venus,4,3,-7,0,0.47348614962036245
253,4R+3V-6,Mercury,Venus,4,3,-6,1,0.4272441633832839
254,4R+3V-5,Mercury,Venus,4,3,-5,2,0.37834559423577685
255,4R+3V-4,Mercury,Venus,4,3,-4,3,0.3260483630202078
256,4R+3V-3,Mercury,Venus,4,3,-3,4,0.2691469935784778
257,4R+3V-2,Mercury,Venus,4,3,-2,5,0.2053975892309322
258,4R+3V-1,Mercury,Venus,4,3,-1,6,0.1293923621791761
259,4R+4V-7,Mercury,Venus,4,4,-7,1,0.45101465679721847
260,4R+4V-5,Mercury,Venus,4,4,-5,3,0.3603894201247049
261,4R+4V-3,Mercury,Venus,4,4,-3,5,0.25637334309012383
262,4R+5V-7,Mercury,Venus,4,5,-7,2,0.4310324950306102
263,4R+5V-6,Mercury,Venus,4,5,-6,3,0.38893663502558773
264,4R+5V-5,Mercury,Venus,4,5,-5,4,0.34442238473874975
265,4R+5V-4,Mercury,Venus,4,5,-4,5,0.29681421348186826
266,4R+5V-3,Mercury,Venus,4,5,-3,6,0.24501472701345386
267,4R+6V-7,Mercury,Venus,4,6,-7,3,0.4131259011426135
268,4R+6V-5,Mercury,Venus,4,6,-5,5,0.33011386345638905
269,5R-7V-4,Mercury,Venus,5,-7,-4,6,0.5664851133820805
270,5R-7V-3,Mercury,Venus,5,-7,-3,5,0.4676235396481951
271,5R-7V-2,Mercury,Venus,5,-7,-2,4,0.3568637747815235
272,5R-7V-1,Mercury,Venus,5,-7,-1,3,0.22481021568583903
273,5R-6V-5,Mercury,Venus,5,-6,-5,6,0.5909211613450617
274,5R-6V-4,Mercury,Venus,5,-6,-4,5,0.509240761409942
275,5R-6V-3,Mercury,Venus,5,-6,-3,4,0.42036920383225024
276,5R-6V-2,Mercury,Venus,5,-6,-2,3,0.32080188304199364
277,5R-6V-1,Mercury,Venus,5,-6,-1,2,0.2020925878390575
278,5R-5V-6,Mercury,Venus,5,-5,-6,6,0.6087457599087197
279,5R-5V-4,Mercury,Venus,5,-5,-4,4,0.4645604353586339
280,5R-5V-3,Mercury,Venus,5,-5,-3,3,0.38348632150851364
281,5R-5V-2,Mercury,Venus,5,-5,-2,2,0.2926549256306323
282,5R-5V-1,Mercury,Venus,5,-5,-1,1,0.18436108444309807
283,5R-4V-7,Mercury,Venus,5,-4,-7,6,0.6223293448864143
284,5R-4V-6,Mercury,Venus,5,-4,-6,5,0.5615511206540059
285,5R-4V-5,Mercury,Venus,5,-4,-5,4,0.4972811256698234
286,5R-4V-4,Mercury,Venus,5,-4,-4,3,0.42854401925611496
287,5R-4V-3,Mercury,Venus,5,-4,-3,2,0.3537553837360932
288,5R-4V-2,Mercury,Venus,5,-4,-2,1,0.2699659359966717
289,5R-4V-1,Mercury,Venus,5,-4,-1,0,0.17006789910637113
290,5R-3V-7,Mercury,Venus,5,-3,-7,5,0.5791106427404774
291,5R-3V-6,Mercury,Venus,5,-3,-6,4,0.5225531974696436
292,5R-3V-5,Mercury,Venus,5,-3,-5,3,0.4627464965505144
293,5R-3V-4,Mercury,Venus,5,-3,-4,2,0.39878293252364205
294,5R-3V-3,Mercury,Venus,5,-3,-3,1,0.3291881195049926
295,5R-3V-2,Mercury,Venus,5,-3,-2,0,0.2512175817725965
296,5R-3V-1,Mercury,Venus,5,-3,-1,1,0.15825716581861302
297,5R-2V-7,Mercury,Venus,5,-2,-7,4,0.5426891702685175
298,5R-2V-6,Mercury,Venus,5,-2,-6,3,0.48968869649795177
299,5R-2V-5,Mercury,Venus,5,-2,-5,2,0.43364333545132694
300,5R-2V-4,Mercury,Venus,5,-2,-4,1,0.37370256190541196
301,5R-2V-3,Mercury,Venus,5,-2,-3,0,0.30848470736184297
302,5R-2V-2,Mercury,Venus,5,-2,-2,1,0.23541790709093433
303,5R-2V-1,Mercury,Venus,5,-2,-1,2,0.14830398833303185
304,5R-1V-7,Mercury,Venus,5,-1,-7,3,0.5115016465752137
305,5R-1V-6,Mercury,Venus,5,-1,-6,2,0.461546999976121
306,5R-1V-5,Mercury,Venus,5,-1,-5,1,0.40872246254184325
307,5R-1V-4,Mercury,Venus,5,-1,-4,0,0.3522263861183571
308,5R-1V-3,Mercury,Venus,5,-1,-3,1,0.29075649880373083
309,5R-1V-2,Mercury,Venus,5,-1,-2,2,0.22188874278513362
310,5R-1V-1,Mercury,Venus,5,-1,-1,3,0.1397811451545891
311,5R+1V-7,Mercury,Venus,5,1,-7,1,0.46069496159064455
312,5R+1V-6,Mercury,Venus,5,1,-6,0,0.4157022007987919
313,5R+1V-5,Mercury,Venus,5,1,-5,1,0.36812462414416147
314,5R+1V-4,Mercury,Venus,5,1,-4,2,0.31724020276107007
315,5R+1V-3,Mercury,Venus,5,1,-3,3,0.26187602259145915
316,5R+1V-2,Mercury,Venus,5,1,-2,4,0.19984880466579494
317,5R+1V-1,Mercury,Venus,5,1,-1,5,0.12589685053318317
318,5R+2V-7,Mercury,Venus,5,2,-7,0,0.4396606921941253
319,5R+2V-6,Mercury,Venus,5,2,-6,1,0.3967221872080225
320,5R+2V-5,Mercury,Venus,5,2,-5,2,0.3513168842713277
321,5R+2V-4,Mercury,Venus,5,2,-4,3,0.30275572332903966
322,5R+2V-3,Mercury,Venus,5,2,-3,4,0.24991934315473968
323,5R+2V-2,Mercury,Venus,5,2,-2,5,0.1907241479346652
324,5R+2V-1,Mercury,Venus,5,2,-1,6,0.1201486762082684
325,5R+3V-7,Mercury,Venus,5,3,-7,1,0.42087372254398864
326,5R+3V-6,Mercury,Venus,5,3,-6,2,0.37976999832058145
327,5R+3V-5,Mercury,Venus,5,3,-5,3,0.3363048841937314
328,5R+3V-4,Mercury,Venus,5,3,-4,4,0.2898187678821977
329,5R+3V-3,Mercury,Venus,5,3,-3,5,0.23924011817119786
330,5R+3V-2,Mercury,Venus,5,3,-2,6,0.18257437229783458
331,5R+4V-7,Mercury,Venus,5,4,-7,2,0.40397299792606167
332,5R+4V-6,Mercury,Venus,5,4,-6,3,0.36451983857682474
333,5R+4V-5,Mercury,Venus,5,4,-5,4,0.3228001169045667
334,5R+4V-4,Mercury,Venus,5,4,-4,5,0.27818070792221844
335,5R+4V-3,Mercury,Venus,5,4,-3,6,0.22963310886361135
336,5R+5V-7,Mercury,Venus,5,5,-7,3,0.38867269833224194
337,5R+5V-6,Mercury,Venus,5,5,-6,4,0.3507138023523723
338,5R+5V-4,Mercury,Venus,5,5,-4,6,0.2676447230751966
339,5R+6V-7,Mercury,Venus,5,6,-7,4,0.37474335449935275
340,5R+6V-6,Mercury,Venus,5,6,-6,5,0.3381448333614121
341,5R+6V-5,Mercury,Venus,5,6,-5,6,0.2994437539969422
342,6R-7V-5,Mercury,Venus,6,-7,-5,6,0.5148754955466399
343,6R-7V-4,Mercury,Venus,6,-7,-4,5,0.44370644344027654
344,6R-7V-3,Mercury,Venus,6,-7,-3,4,0.3662717270342624
345,6R-7V-2,Mercury,Venus,6,-7,-2,3,0.2795177311896851
346,6R-7V-1,Mercury,Venus,6,-7,-1,2,0.17608517424710537
347,6R-6V-5,Mercury,Venus,6,-6,-5,5,0.4773768653910509
348,6R-6V-1,Mercury,Venus,6,-6,-1,1,0.16326074156043816
349,6R-5V-7,Mercury,Venus,6,-5,-7,6,0.5581968697517068
350,6R-5V-6,Mercury,Venus,6,-5,-6,5,0.5036819121011894
351,6R-5V-5,Mercury,Venus,6,-5,-5,4,0.4460350446516325
352,6R-5V-4,Mercury,Venus,6,-5,-4,3,0.38438143609355513
353,6R-5V-3,Mercury,Venus,6,-5,-3,2,0.31729995048046844
354,6R-5V-2,Mercury,Venus,6,-5,-2,1,0.24214521524393887
355,6R-5V-1,Mercury,Venus,6,-5,-1,0,0.15254193748970576
356,6R-4V-7,Mercury,Venus,6,-4,-7,5,0.52483581658056
357,6R-4V-5,Mercury,Venus,6,-4,-5,3,0.4193773624144776
358,6R-4V-3,Mercury,Venus,6,-4,-3,1,0.29833620345692696
359,6R-4V-1,Mercury,Venus,6,-4,-1,1,0.14342510361981953
360,6R-3V-7,Mercury,Venus,6,-3,-7,4,0.49605012295498013
361,6R-3V-5,Mercury,Venus,6,-3,-5,2,0.3963757094592458
362,6R-3V-4,Mercury,Venus,6,-3,-4,1,0.34158628002400127
363,6R-3V-2,Mercury,Venus,6,-3,-2,1,0.21518590370491603
364,6R-3V-1,Mercury,Venus,6,-3,-1,2,0.13555862485923745
365,6R-2V-7,Mercury,Venus,6,-2,-7,3,0.4709119865133841
366,6R-2V-5,Mercury,Venus,6,-2,-5,1,0.3762887046096863
367,6R-2V-3,Mercury,Venus,6,-2,-3,1,0.26768379939070563
368,6R-2V-1,Mercury,Venus,6,-2,-1,3,0.1286889482164999
369,6R-1V-7,Mercury,Venus,6,-1,-7,2,0.44873405059996846
370,6R-1V-6,Mercury,Venus,6,-1,-6,1,0.404909427173527
371,6R-1V-5,Mercury,Venus,6,-1,-5,0,0.35856709806189374
372,6R-1V-4,Mercury,Venus,6,-1,-4,1,0.3090037801784529
373,6R-1V-3,Mercury,Venus,6,-1,-3,2,0.2550770096378277
