,mmr,planet,m1,m,q,a
0,1R-25,Mercury,1,-25,24,3.309645021481565
1,1R-24,Mercury,1,-24,23,3.2207887286871593
2,1R-23,Mercury,1,-23,22,3.130689287888107
3,1R-22,Mercury,1,-22,21,3.0392740625835892
4,1R-21,Mercury,1,-21,20,2.946462646415637
5,1R-20,Mercury,1,-20,19,2.852165618388481
6,1R-19,Mercury,1,-19,18,2.756283025654208
7,1R-18,Mercury,1,-18,17,2.6587025165462035
8,1R-17,Mercury,1,-17,16,2.559297019007311
9,1R-16,Mercury,1,-16,15,2.4579218199889534
10,1R-15,Mercury,1,-15,14,2.3544108434293296
11,1R-14,Mercury,1,-14,13,2.2485718376689077
12,1R-13,Mercury,1,-13,12,2.1401800501986337
13,1R-12,Mercury,1,-12,11,2.0289697582685498
14,1R-11,Mercury,1,-11,10,1.914622683924286
15,1R-10,Mercury,1,-10,9,1.7967517501970378
16,1R-9,Mercury,1,-9,8,1.674877633002517
17,1R-8,Mercury,1,-8,7,1.5483937199999998
18,1R-7,Mercury,1,-7,6,1.4165114952399274
19,1R-6,Mercury,1,-6,5,1.278170854021329
20,1R-5,Mercury,1,-5,4,1.1318826757543514
21,1R-4,Mercury,1,-4,3,0.9754269206765142
22,1R-3,Mercury,1,-3,2,0.8051971821717898
23,1R-2,Mercury,1,-2,1,0.6144804549972384
24,1R-1,Mercury,1,-1,0,0.38709843
25,1R+1,Mercury,1,1,2,0.38709843
26,1R+2,Mercury,1,2,3,0.6144804549972384
27,1R+3,Mercury,1,3,4,0.8051971821717898
28,1R+4,Mercury,1,4,5,0.9754269206765142
29,1R+5,Mercury,1,5,6,1.1318826757543514
30,1R+6,Mercury,1,6,7,1.278170854021329
31,1R+7,Mercury,1,7,8,1.4165114952399274
32,1R+8,Mercury,1,8,9,1.5483937199999998
33,1R+9,Mercury,1,9,10,1.674877633002517
34,1R+10,Mercury,1,10,11,1.7967517501970378
35,1R+11,Mercury,1,11,12,1.914622683924286
36,1R+12,Mercury,1,12,13,2.0289697582685498
37,1R+13,Mercury,1,13,14,2.1401800501986337
38,1R+14,Mercury,1,14,15,2.2485718376689077
39,1R+15,Mercury,1,15,16,2.3544108434293296
40,1R+16,Mercury,1,16,17,2.4579218199889534
41,1R+17,Mercury,1,17,18,2.559297019007311
42,1R+18,Mercury,1,18,19,2.6587025165462035
43,1R+19,Mercury,1,19,20,2.756283025654208
44,1R+20,Mercury,1,20,21,2.852165618388481
45,1R+21,Mercury,1,21,22,2.946462646415637
46,1R+22,Mercury,1,22,23,3.0392740625835892
47,1R+23,Mercury,1,23,24,3.130689287888107
48,1R+24,Mercury,1,24,25,3.2207887286871593
49,2R-25,Mercury,2,-25,23,2.084945715122197
50,2R-23,Mercury,2,-23,21,1.9722106672453084
51,2R-21,Mercury,2,-21,19,1.8561551554740081
52,2R-19,Mercury,2,-19,17,1.7363495017448338
53,2R-17,Mercury,2,-17,15,1.6122560935902555
54,2R-15,Mercury,2,-15,13,1.4831858908686777
55,2R-13,Mercury,2,-13,11,1.3482289479051626
56,2R-11,Mercury,2,-11,9,1.2061367110412131
57,2R-9,Mercury,2,-9,7,1.0551067929089857
58,2R-7,Mercury,2,-7,5,0.8923463251354231
59,2R-5,Mercury,2,-5,3,0.7130414045971203
60,2R-3,Mercury,2,-3,1,0.5072424395671374
61,2R-1,Mercury,2,-1,1,0.24385673016912854
62,2R+1,Mercury,2,1,3,0.24385673016912854
63,2R+3,Mercury,2,3,5,0.5072424395671374
64,2R+5,Mercury,2,5,7,0.7130414045971203
65,2R+7,Mercury,2,7,9,0.8923463251354231
66,2R+9,Mercury,2,9,11,1.0551067929089857
67,2R+11,Mercury,2,11,13,1.2061367110412131
68,2R+13,Mercury,2,13,15,1.3482289479051626
69,2R+15,Mercury,2,15,17,1.4831858908686777
70,2R+17,Mercury,2,17,19,1.6122560935902555
71,2R+19,Mercury,2,19,21,1.7363495017448338
72,2R+21,Mercury,2,21,23,1.8561551554740081
73,2R+23,Mercury,2,23,25,1.9722106672453084
74,3R-25,Mercury,3,-25,22,1.5911113700339472
75,3R-23,Mercury,3,-23,20,1.5050784267408763
76,3R-22,Mercury,3,-22,19,1.4611305702692108
77,3R-20,Mercury,3,-20,17,1.371178212522117
78,3R-19,Mercury,3,-19,16,1.3250826697984617
79,3R-17,Mercury,3,-17,14,1.230381675317442
80,3R-16,Mercury,3,-16,13,1.1816455629094238
81,3R-14,Mercury,3,-14,11,1.0810005888944407
82,3R-13,Mercury,3,-13,10,1.0288912525931557
83,3R-11,Mercury,3,-11,8,0.9204545810635394
84,3R-10,Mercury,3,-10,7,0.8637881465569206
85,3R-8,Mercury,3,-8,5,0.7443900591122299
86,3R-7,Mercury,3,-7,4,0.68098769844843
87,3R-5,Mercury,3,-5,2,0.544152434248371
88,3R-4,Mercury,3,-4,1,0.4689363524039936
89,3R-2,Mercury,3,-2,1,0.29541139072735595
90,3R-1,Mercury,3,-1,2,0.18609751477805747
91,3R+1,Mercury,3,1,4,0.18609751477805747
92,3R+2,Mercury,3,2,5,0.29541139072735595
93,3R+4,Mercury,3,4,7,0.4689363524039936
94,3R+5,Mercury,3,5,8,0.544152434248371
95,3R+7,Mercury,3,7,10,0.68098769844843
96,3R+8,Mercury,3,8,11,0.7443900591122299
97,3R+10,Mercury,3,10,13,0.8637881465569206
98,3R+11,Mercury,3,11,14,0.9204545810635394
99,3R+13,Mercury,3,13,16,1.0288912525931557
100,3R+14,Mercury,3,14,17,1.0810005888944407
101,3R+16,Mercury,3,16,19,1.1816455629094238
102,3R+17,Mercury,3,17,20,1.230381675317442
103,3R+19,Mercury,3,19,22,1.3250826697984617
104,3R+20,Mercury,3,20,23,1.371178212522117
105,3R+22,Mercury,3,22,25,1.4611305702692108
106,4R-25,Mercury,4,-25,21,1.3134334971852877
107,4R-23,Mercury,4,-23,19,1.2424148672447886
108,4R-21,Mercury,4,-21,17,1.169304476126297
109,4R-19,Mercury,4,-19,15,1.0938316436113955
110,4R-17,Mercury,4,-17,13,1.0156576950678207
111,4R-15,Mercury,4,-15,11,0.9343485624062635
112,4R-13,Mercury,4,-13,9,0.8493310157716664
113,4R-11,Mercury,4,-11,7,0.7598185156458973
114,4R-9,Mercury,4,-9,5,0.6646756291365509
115,4R-7,Mercury,4,-7,3,0.562142959417227
116,4R-5,Mercury,4,-5,1,0.4491879375492595
117,4R-3,Mercury,4,-3,1,0.3195427135053323
118,4R-1,Mercury,4,-1,3,0.15362011374930962
119,4R+1,Mercury,4,1,5,0.15362011374930962
120,4R+3,Mercury,4,3,7,0.3195427135053323
121,4R+5,Mercury,4,5,9,0.4491879375492595
122,4R+7,Mercury,4,7,11,0.562142959417227
123,4R+9,Mercury,4,9,13,0.6646756291365509
124,4R+11,Mercury,4,11,15,0.7598185156458973
125,4R+13,Mercury,4,13,17,0.8493310157716664
126,4R+15,Mercury,4,15,19,0.9343485624062635
127,4R+17,Mercury,4,17,21,1.0156576950678207
128,4R+19,Mercury,4,19,23,1.0938316436113955
129,4R+21,Mercury,4,21,25,1.169304476126297
130,5R-24,Mercury,5,-24,19,1.101494251076492
131,5R-23,Mercury,5,-23,18,1.070680675761412
132,5R-22,Mercury,5,-22,17,1.0394171084752608
133,5R-21,Mercury,5,-21,16,1.007676050630421
134,5R-19,Mercury,5,-19,14,0.942635535220393
135,5R-18,Mercury,5,-18,13,0.9092634705325623
136,5R-17,Mercury,5,-17,12,0.8752672685807752
137,5R-16,Mercury,5,-16,11,0.8405974381985843
138,5R-14,Mercury,5,-14,9,0.7690007513576902
139,5R-13,Mercury,5,-13,8,0.731931281479398
140,5R-12,Mercury,5,-12,7,0.6938978966347304
141,5R-11,Mercury,5,-11,6,0.6547917472944219
142,5R-9,Mercury,5,-9,4,0.5728000932122209
143,5R-8,Mercury,5,-8,3,0.5295432034370505
144,5R-7,Mercury,5,-7,2,0.4844401170102637
145,5R-6,Mercury,5,-6,1,0.4371282832239369
146,5R-4,Mercury,5,-4,1,0.3335913144195516
147,5R-3,Mercury,5,-3,2,0.27537356276912306
148,5R-2,Mercury,5,-2,3,0.2101493595496461
149,5R-1,Mercury,5,-1,4,0.13238580085926263
150,5R+1,Mercury,5,1,6,0.13238580085926263
151,5R+2,Mercury,5,2,7,0.2101493595496461
152,5R+3,Mercury,5,3,8,0.27537356276912306
153,5R+4,Mercury,5,4,9,0.3335913144195516
154,5R+6,Mercury,5,6,11,0.4371282832239369
155,5R+7,Mercury,5,7,12,0.4844401170102637
156,5R+8,Mercury,5,8,13,0.5295432034370505
157,5R+9,Mercury,5,9,14,0.5728000932122209
158,5R+11,Mercury,5,11,16,0.6547917472944219
159,5R+12,Mercury,5,12,17,0.6938978966347304
160,5R+13,Mercury,5,13,18,0.731931281479398
161,5R+14,Mercury,5,14,19,0.7690007513576902
162,5R+16,Mercury,5,16,21,0.8405974381985843
163,5R+17,Mercury,5,17,22,0.8752672685807752
164,5R+18,Mercury,5,18,23,0.9092634705325623
165,5R+19,Mercury,5,19,24,0.942635535220393
166,6R-25,Mercury,6,-25,19,1.0023373539164202
167,6R-23,Mercury,6,-23,17,0.9481399957967445
168,6R-19,Mercury,6,-19,13,0.8347497742649898
169,6R-17,Mercury,6,-17,11,0.7750918860686823
170,6R-13,Mercury,6,-13,7,0.6481608735974099
171,6R-11,Mercury,6,-11,5,0.5798500510770601
172,6R-7,Mercury,6,-7,1,0.42899536799731963
173,6R-5,Mercury,6,-5,1,0.34279455313052926
174,6R-1,Mercury,6,-1,5,0.11723408810099843
175,6R+1,Mercury,6,1,7,0.11723408810099843
176,6R+5,Mercury,6,5,11,0.34279455313052926
177,6R+7,Mercury,6,7,13,0.42899536799731963
178,6R+11,Mercury,6,11,17,0.5798500510770601
179,6R+13,Mercury,6,13,19,0.6481608735974099
180,6R+17,Mercury,6,17,23,0.7750918860686823
181,6R+19,Mercury,6,19,25,0.8347497742649898
182,7R-25,Mercury,7,-25,18,0.9044461664999257
183,7R-24,Mercury,7,-24,17,0.8801638846039296
184,7R-23,Mercury,7,-23,16,0.8555418803389493
185,7R-22,Mercury,7,-22,15,0.8305603039010672
186,7R-20,Mercury,7,-20,13,0.7794280785495171
187,7R-19,Mercury,7,-19,12,0.7532256783314519
188,7R-18,Mercury,7,-18,11,0.7265592785166652
189,7R-17,Mercury,7,-17,10,0.6993941533765008
190,7R-16,Mercury,7,-16,9,0.6716907563247904
191,7R-15,Mercury,7,-15,8,0.643403702779058
192,7R-13,Mercury,7,-13,6,0.5848595935389063
193,7R-12,Mercury,7,-12,5,0.5544685027848665
194,7R-11,Mercury,7,-11,4,0.5232202050460186
195,7R-10,Mercury,7,-10,3,0.49100892152182574
196,7R-9,Mercury,7,-9,2,0.4577036644997893
197,7R-8,Mercury,7,-8,1,0.42313866145670564
198,7R-6,Mercury,7,-6,1,0.3492932690811737
199,7R-5,Mercury,7,-5,2,0.309316237955764
200,7R-4,Mercury,7,-4,3,0.26656065329682194
201,7R-3,Mercury,7,-3,4,0.2200409711509824
202,7R-2,Mercury,7,-2,5,0.1679226890811976
203,7R-1,Mercury,7,-1,6,0.10578466536417641
204,7R+1,Mercury,7,1,8,0.10578466536417641
205,7R+2,Mercury,7,2,9,0.1679226890811976
206,7R+3,Mercury,7,3,10,0.2200409711509824
207,7R+4,Mercury,7,4,11,0.26656065329682194
208,7R+5,Mercury,7,5,12,0.309316237955764
209,7R+6,Mercury,7,6,13,0.3492932690811737
210,7R+8,Mercury,7,8,15,0.42313866145670564
211,7R+9,Mercury,7,9,16,0.4577036644997893
212,7R+10,Mercury,7,10,17,0.49100892152182574
213,7R+11,Mercury,7,11,18,0.5232202050460186
214,7R+12,Mercury,7,12,19,0.5544685027848665
215,7R+13,Mercury,7,13,20,0.5848595935389063
216,7R+15,Mercury,7,15,22,0.643403702779058
217,7R+16,Mercury,7,16,23,0.6716907563247904
218,7R+17,Mercury,7,17,24,0.6993941533765008
219,7R+18,Mercury,7,18,25,0.7265592785166652
220,8R-25,Mercury,8,-25,17,0.8274112553703913
221,8R-23,Mercury,8,-23,15,0.7826723219720267
222,8R-21,Mercury,8,-21,13,0.7366156616039093
223,8R-19,Mercury,8,-19,11,0.689070756413552
224,8R-17,Mercury,8,-17,9,0.6398242547518279
225,8R-15,Mercury,8,-15,7,0.5886027108573325
226,8R-13,Mercury,8,-13,5,0.5350450125496585
227,8R-11,Mercury,8,-11,3,0.4786556709810716
228,8R-9,Mercury,8,-9,1,0.4187194082506293
229,8R-7,Mercury,8,-7,1,0.35412787380998184
230,8R-5,Mercury,8,-5,3,0.28297066893858785
231,8R-3,Mercury,8,-3,5,0.20129929554294745
232,8R-1,Mercury,8,-1,7,0.0967746075
233,8R+1,Mercury,8,1,9,0.0967746075
234,8R+3,Mercury,8,3,11,0.20129929554294745
235,8R+5,Mercury,8,5,13,0.28297066893858785
236,8R+7,Mercury,8,7,15,0.35412787380998184
237,8R+9,Mercury,8,9,17,0.4187194082506293
238,8R+11,Mercury,8,11,19,0.4786556709810716
239,8R+13,Mercury,8,13,21,0.5350450125496585
240,8R+15,Mercury,8,15,23,0.5886027108573325
241,8R+17,Mercury,8,17,25,0.6398242547518279
242,9R-25,Mercury,9,-25,16,0.7649265632475639
243,9R-23,Mercury,9,-23,14,0.7235662380819929
244,9R-22,Mercury,9,-22,13,0.7024383123779294
245,9R-20,Mercury,9,-20,11,0.6591937292749679
246,9R-19,Mercury,9,-19,10,0.6370333037128749
247,9R-17,Mercury,9,-17,8,0.5915058141802301
248,9R-16,Mercury,9,-16,7,0.5680759351205907
249,9R-14,Mercury,9,-14,5,0.5196908782783541
250,9R-13,Mercury,9,-13,4,0.4946393223151767
251,9R-11,Mercury,9,-11,2,0.4425084080087918
252,9R-10,Mercury,9,-10,1,0.41526602773611715
253,9R-8,Mercury,9,-8,1,0.35786541429857327
254,9R-7,Mercury,9,-7,2,0.3273847384906264
255,9R-5,Mercury,9,-5,4,0.2616012048254811
256,9R-4,Mercury,9,-4,5,0.2254410842520611
257,9R-2,Mercury,9,-2,7,0.1420189837801477
258,9R-1,Mercury,9,-1,8,0.08946635357464333
259,9R+1,Mercury,9,1,10,0.08946635357464333
260,9R+2,Mercury,9,2,11,0.1420189837801477
261,9R+4,Mercury,9,4,13,0.2254410842520611
262,9R+5,Mercury,9,5,14,0.2616012048254811
263,9R+7,Mercury,9,7,16,0.3273847384906264
264,9R+8,Mercury,9,8,17,0.35786541429857327
265,9R+10,Mercury,9,10,19,0.41526602773611715
266,9R+11,Mercury,9,11,20,0.4425084080087918
267,9R+13,Mercury,9,13,22,0.4946393223151767
268,9R+14,Mercury,9,14,23,0.5196908782783541
269,9R+16,Mercury,9,16,25,0.5680759351205907
270,10R-23,Mercury,10,-23,13,0.6744865605537353
271,10R-21,Mercury,10,-21,11,0.6347961338320998
272,10R-19,Mercury,10,-19,9,0.5938231766015467
273,10R-17,Mercury,10,-17,7,0.5513838279844541
274,10R-13,Mercury,10,-13,3,0.46108781430621154
275,10R-11,Mercury,10,-11,1,0.4124929528568433
276,10R-9,Mercury,10,-9,1,0.3608414474099113
277,10R-7,Mercury,10,-7,3,0.30517815041738333
278,10R-3,Mercury,10,-3,7,0.17347447415868264
279,10R-1,Mercury,10,-1,9,0.0833978286048879
280,10R+1,Mercury,10,1,11,0.0833978286048879
281,10R+3,Mercury,10,3,13,0.17347447415868264
282,10R+7,Mercury,10,7,17,0.30517815041738333
283,10R+9,Mercury,10,9,19,0.3608414474099113
284,10R+11,Mercury,10,11,21,0.4124929528568433
285,10R+13,Mercury,10,13,23,0.46108781430621154
286,11R-25,Mercury,11,-25,14,0.6691440576933506
287,11R-24,Mercury,11,-24,13,0.6511790916845727
288,11R-23,Mercury,11,-23,12,0.6329627860019799
289,11R-21,Mercury,11,-21,10,0.5957158421122323
290,11R-20,Mercury,11,-20,9,0.5766508682093002
291,11R-19,Mercury,11,-19,8,0.5572653248208285
292,11R-18,Mercury,11,-18,7,0.5375364966859357
293,11R-17,Mercury,11,-17,6,0.51743869237506
294,11R-16,Mercury,11,-16,5,0.4969426538028482
295,11R-15,Mercury,11,-15,4,0.4760148037097582
296,11R-14,Mercury,11,-14,3,0.45461627265368276
297,11R-13,Mercury,11,-13,2,0.4327016201704909
298,11R-12,Mercury,11,-12,1,0.41021712243240827
299,11R-10,Mercury,11,-10,1,0.36326728364852584
300,11R-9,Mercury,11,-9,2,0.3386267736306781
301,11R-8,Mercury,11,-8,3,0.3130542550584145
302,11R-7,Mercury,11,-7,4,0.28639030577056096
303,11R-6,Mercury,11,-6,5,0.2584205937899468
304,11R-5,Mercury,11,-5,6,0.22884404870345468
305,11R-4,Mercury,11,-4,7,0.1972118228536275
306,11R-3,Mercury,11,-3,8,0.16279477292114317
307,11R-2,Mercury,11,-2,9,0.12423566345071205
308,11R-1,Mercury,11,-1,10,0.07826356376460362
309,11R+1,Mercury,11,1,12,0.07826356376460362
310,11R+2,Mercury,11,2,13,0.12423566345071205
311,11R+3,Mercury,11,3,14,0.16279477292114317
312,11R+4,Mercury,11,4,15,0.1972118228536275
313,11R+5,Mercury,11,5,16,0.22884404870345468
314,11R+6,Mercury,11,6,17,0.2584205937899468
315,11R+7,Mercury,11,7,18,0.28639030577056096
316,11R+8,Mercury,11,8,19,0.3130542550584145
317,11R+9,Mercury,11,9,20,0.3386267736306781
318,11R+10,Mercury,11,10,21,0.36326728364852584
319,11R+12,Mercury,11,12,23,0.41021712243240827
320,11R+13,Mercury,11,13,24,0.4327016201704909
321,11R+14,Mercury,11,14,25,0.45461627265368276
322,12R-25,Mercury,12,-25,13,0.6314329656476128
323,12R-23,Mercury,12,-23,11,0.5972907694757775
324,12R-19,Mercury,12,-19,7,0.5258594059957271
325,12R-17,Mercury,12,-17,5,0.48827729143032583
326,12R-13,Mercury,12,-13,1,0.4083157641818134
327,12R-11,Mercury,12,-11,1,0.36528264256730275
328,12R-7,Mercury,12,-7,5,0.27025014722361024
329,12R-5,Mercury,12,-5,7,0.2159470366392302
330,12R-1,Mercury,12,-1,11,0.07385284768183899
331,12R+1,Mercury,12,1,13,0.07385284768183899
332,12R+5,Mercury,12,5,17,0.2159470366392302
333,12R+7,Mercury,12,7,19,0.27025014722361024
334,12R+11,Mercury,12,11,23,0.36528264256730275
335,12R+13,Mercury,12,13,25,0.4083157641818134
336,13R-25,Mercury,13,-25,12,0.5986217802347629
337,13R-24,Mercury,13,-24,11,0.5825501738140121
338,13R-23,Mercury,13,-23,10,0.5662537168528541
339,13R-22,Mercury,13,-22,9,0.5497192714494448
340,13R-21,Mercury,13,-21,8,0.5329322943531223
341,13R-20,Mercury,13,-20,7,0.5158766118185663
342,13R-19,Mercury,13,-19,6,0.4985341451843586
343,13R-18,Mercury,13,-18,5,0.48088457319119693
344,13R-17,Mercury,13,-17,4,0.4629049120747863
345,13R-16,Mercury,13,-16,3,0.44456898731121247
346,13R-15,Mercury,13,-15,2,0.42584676040778996
347,13R-14,Mercury,13,-14,1,0.4067034584417625
348,13R-12,Mercury,13,-12,1,0.3669836133040955
349,13R-11,Mercury,13,-11,2,0.3463014408160146
350,13R-10,Mercury,13,-10,3,0.32498190118932896
351,13R-9,Mercury,13,-9,4,0.3029382981666504
352,13R-8,Mercury,13,-8,5,0.28006091262192173
353,13R-7,Mercury,13,-7,6,0.25620712417791064
354,13R-6,Mercury,13,-6,7,0.23118518968415508
355,13R-5,Mercury,13,-5,8,0.20472576907164566
356,13R-4,Mercury,13,-4,9,0.17642731953256396
357,13R-3,Mercury,13,-3,10,0.14563754345350305
358,13R-2,Mercury,13,-2,11,0.11114224682780312
359,13R-1,Mercury,13,-1,12,0.07001522815548043
360,13R+1,Mercury,13,1,14,0.07001522815548043
361,13R+2,Mercury,13,2,15,0.11114224682780312
362,13R+3,Mercury,13,3,16,0.14563754345350305
363,13R+4,Mercury,13,4,17,0.17642731953256396
364,13R+5,Mercury,13,5,18,0.20472576907164566
365,13R+6,Mercury,13,6,19,0.23118518968415508
366,13R+7,Mercury,13,7,20,0.25620712417791064
367,13R+8,Mercury,13,8,21,0.28006091262192173
368,13R+9,Mercury,13,9,22,0.3029382981666504
369,13R+10,Mercury,13,10,23,0.32498190118932896
370,13R+11,Mercury,13,11,24,0.3463014408160146
371,13R+12,Mercury,13,12,25,0.3669836133040955
372,14R-25,Mercury,14,-25,11,0.5697653818349899
373,14R-23,Mercury,14,-23,9,0.5389576120528415
374,14R-19,Mercury,14,-19,5,0.47450244372557054
375,14R-17,Mercury,14,-17,3,0.44059070800622846
376,14R-15,Mercury,14,-15,1,0.4053189343558199
377,14R-13,Mercury,14,-13,1,0.3684384565663138
378,14R-11,Mercury,14,-11,3,0.32960807503389533
379,14R-9,Mercury,14,-9,5,0.28833524075865263
380,14R-5,Mercury,14,-5,9,0.19485701963737934
381,14R-3,Mercury,14,-3,11,0.13861712569621662
382,14R-1,Mercury,14,-1,13,0.0666401633242055
383,14R+1,Mercury,14,1,15,0.0666401633242055
384,14R+3,Mercury,14,3,17,0.13861712569621662
385,14R+5,Mercury,14,5,19,0.19485701963737934
386,14R+9,Mercury,14,9,23,0.28833524075865263
387,14R+11,Mercury,14,11,25,0.32960807503389533
388,15R-23,Mercury,15,-23,8,0.5147295815177807
389,15R-22,Mercury,15,-22,7,0.49969962602287127
390,15R-19,Mercury,15,-19,4,0.45317189854270196
391,15R-17,Mercury,15,-17,2,0.4207846140049207
392,15R-16,Mercury,15,-16,1,0.4041170980144721
393,15R-14,Mercury,15,-14,1,0.3696970010705677
394,15R-13,Mercury,15,-13,2,0.35187585873607086
395,15R-11,Mercury,15,-11,4,0.3147910387254057
396,15R-8,Mercury,15,-8,7,0.25457781920543154
397,15R-7,Mercury,15,-7,8,0.23289451686590784
398,15R-4,Mercury,15,-4,11,0.16037397662662728
399,15R-2,Mercury,15,-2,13,0.10102927450361804
400,15R-1,Mercury,15,-1,14,0.06364445480135789
401,15R+1,Mercury,15,1,16,0.06364445480135789
402,15R+2,Mercury,15,2,17,0.10102927450361804
403,15R+4,Mercury,15,4,19,0.16037397662662728
404,15R+7,Mercury,15,7,22,0.23289451686590784
405,15R+8,Mercury,15,8,23,0.25457781920543154
406,16R-25,Mercury,16,-25,9,0.5212364287805492
407,16R-23,Mercury,16,-23,7,0.4930526668113271
408,16R-21,Mercury,16,-21,5,0.4640387888685021
409,16R-19,Mercury,16,-19,3,0.43408737543620846
410,16R-17,Mercury,16,-17,1,0.40306402339756386
411,16R-15,Mercury,16,-15,1,0.3707964727171694
412,16R-13,Mercury,16,-13,3,0.33705723697629064
413,16R-11,Mercury,16,-11,5,0.30153417776030333
414,16R-9,Mercury,16,-9,7,0.2637766982272464
415,16R-7,Mercury,16,-7,9,0.22308658128385578
416,16R-5,Mercury,16,-5,11,0.1782603511492801
417,16R-3,Mercury,16,-3,13,0.1268106098917844
418,16R-1,Mercury,16,-1,15,0.060964182542282135
419,16R+1,Mercury,16,1,17,0.060964182542282135
420,16R+3,Mercury,16,3,19,0.1268106098917844
421,16R+5,Mercury,16,5,21,0.1782603511492801
422,16R+7,Mercury,16,7,23,0.22308658128385578
423,16R+9,Mercury,16,9,25,0.2637766982272464
424,17R-25,Mercury,17,-25,8,0.5005899597264253
425,17R-24,Mercury,17,-24,7,0.4871502803219315
426,17R-23,Mercury,17,-23,6,0.4735225724716253
427,17R-22,Mercury,17,-22,5,0.45969584976977934
428,17R-21,Mercury,17,-21,4,0.44565795060533375
429,17R-20,Mercury,17,-20,3,0.4313953498865097
430,17R-19,Mercury,17,-19,2,0.41689292955932034
431,17R-18,Mercury,17,-18,1,0.40213369622541034
432,17R-16,Mercury,17,-16,1,0.3717652427655754
433,17R-15,Mercury,17,-15,2,0.35610901520917443
434,17R-14,Mercury,17,-14,3,0.34010066891003654
435,17R-13,Mercury,17,-13,4,0.3237062096335156
436,17R-12,Mercury,17,-12,5,0.30688544631989484
437,17R-11,Mercury,17,-11,6,0.28959023883712814
438,17R-10,Mercury,17,-10,7,0.2717620410743887
439,17R-9,Mercury,17,-9,8,0.2533283543732125
440,17R-8,Mercury,17,-8,9,0.2341974274898131
441,17R-7,Mercury,17,-7,10,0.21424999592154095
442,17R-6,Mercury,17,-6,11,0.19332571686240935
443,17R-5,Mercury,17,-5,12,0.17119935805600875
444,17R-4,Mercury,17,-4,13,0.14753513436282187
445,17R-3,Mercury,17,-3,14,0.1217875700804829
446,17R-2,Mercury,17,-2,15,0.09294131069139386
447,17R-1,Mercury,17,-1,16,0.05854935687245327
448,17R+1,Mercury,17,1,18,0.05854935687245327
449,17R+2,Mercury,17,2,19,0.09294131069139386
450,17R+3,Mercury,17,3,20,0.1217875700804829
451,17R+4,Mercury,17,4,21,0.14753513436282187
452,17R+5,Mercury,17,5,22,0.17119935805600875
453,17R+6,Mercury,17,6,23,0.19332571686240935
454,17R+7,Mercury,17,7,24,0.21424999592154095
455,17R+8,Mercury,17,8,25,0.2341974274898131
456,18R-25,Mercury,18,-25,7,0.48187353932967397
457,18R-23,Mercury,18,-23,5,0.45581816717637413
458,18R-19,Mercury,18,-19,1,0.40130583441596257
459,18R-17,Mercury,18,-17,1,0.37262531321043857
460,18R-13,Mercury,18,-13,5,0.311603247145313
461,18R-11,Mercury,18,-11,7,0.27876282900287297
462,18R-7,Mercury,18,-7,11,0.20623946171933427
463,18R-5,Mercury,18,-5,13,0.16479843231874197
464,18R-1,Mercury,18,-1,17,0.056360271063015284
465,18R+1,Mercury,18,1,19,0.056360271063015284
466,18R+5,Mercury,18,5,23,0.16479843231874197
467,18R+7,Mercury,18,7,25,0.20623946171933427
468,19R-25,Mercury,19,-25,6,0.4648138016845151
469,19R-24,Mercury,19,-24,5,0.4523346291480986
470,19R-23,Mercury,19,-23,4,0.4396808661808819
471,19R-22,Mercury,19,-22,3,0.4268423115534681
472,19R-21,Mercury,19,-21,2,0.41380767282069014
473,19R-20,Mercury,19,-20,1,0.40056439150188783
474,19R-18,Mercury,19,-18,1,0.37339400940068807
475,19R-17,Mercury,19,-17,2,0.35943328342569836
476,19R-16,Mercury,19,-16,3,0.3451959282572719
477,19R-15,Mercury,19,-15,4,0.3306586198092447
478,19R-14,Mercury,19,-14,5,0.31579435783712884
479,19R-13,Mercury,19,-13,6,0.3005715776058868
480,19R-12,Mercury,19,-12,7,0.28495296043004026
481,19R-11,Mercury,19,-11,8,0.26889380665600005
482,19R-10,Mercury,19,-10,9,0.2523397543457798
483,19R-9,Mercury,19,-9,10,0.23522348617428554
484,19R-8,Mercury,19,-8,11,0.2174598081746687
485,19R-7,Mercury,19,-7,12,0.19893797943851632
486,19R-6,Mercury,19,-6,13,0.17950911653783427
487,19R-5,Mercury,19,-5,14,0.15896408411277463
488,19R-4,Mercury,19,-4,15,0.13699109491268316
489,19R-3,Mercury,19,-3,16,0.11308365728702464
490,19R-2,Mercury,19,-2,17,0.08629898206431799
491,19R-1,Mercury,19,-1,18,0.054364952043667175
492,19R+1,Mercury,19,1,20,0.054364952043667175
493,19R+2,Mercury,19,2,21,0.08629898206431799
494,19R+3,Mercury,19,3,22,0.11308365728702464
495,19R+4,Mercury,19,4,23,0.13699109491268316
496,19R+5,Mercury,19,5,24,0.15896408411277463
497,19R+6,Mercury,19,6,25,0.17950911653783427
498,20R-23,Mercury,20,-23,3,0.42489990775642206
499,20R-21,Mercury,20,-21,1,0.3998965057034728
500,20R-19,Mercury,20,-19,1,0.3740851600578647
501,20R-17,Mercury,20,-17,3,0.34735004572461375
502,20R-13,Mercury,20,-13,7,0.29046712154720716
503,20R-11,Mercury,20,-11,9,0.25985427711881526
504,20R-9,Mercury,20,-9,11,0.22731586763314057
505,20R-7,Mercury,20,-7,13,0.19225018783942258
506,20R-3,Mercury,20,-3,17,0.10928207080598425
507,20R-1,Mercury,20,-1,19,0.05253733988741152
